C12,38:90:a5:8c:93:ee,-72.89583,3.79944
C12,38:90:a5:8c:93:ef,-72.6087,3.26243
C12,50:0f:80:c0:ce:2d,-64.26531,3.00538
C12,50:0f:80:c0:ce:2e,-65.02083,4.17943
C12,50:0f:80:c0:ce:2f,-64.46,2.40925
C12,50:0f:80:e3:79:6d,-58.02174,2.57759
C12,50:0f:80:e3:79:6e,-59.3125,5.30418
C12,50:0f:80:e3:79:6f,-58.63043,3.35565
C12,50:0f:80:fd:84:4e,-81.57778,3.79287
C12,50:0f:80:fd:84:4f,-81.38298,3.54814
C13,50:0f:80:c0:ce:2d,-60.2449,2.22234
C13,50:0f:80:c0:ce:2e,-60.84,2.55039
C13,50:0f:80:c0:ce:2f,-60.16,2.53434
C13,50:0f:80:c4:5f:6d,-57.92,4.6328
C13,50:0f:80:c4:5f:6e,-58.22,4.51433
C13,50:0f:80:c4:5f:6f,-58.02041,4.4651
C13,50:0f:80:d8:ee:0d,-85.57143,1.82574
C13,50:0f:80:d8:ee:0e,-85.93878,1.61256
C13,50:0f:80:d8:ee:0f,-85.62,1.73664
C13,50:0f:80:fd:84:4d,-77.28571,2.49165
C13,50:0f:80:fd:84:4e,-77.59184,3.12195
C13,50:0f:80:fd:84:4f,-77.4898,2.35516
C14,50:0f:80:c0:ce:2d,-51.54,3.56405
C14,50:0f:80:c0:ce:2e,-52.32653,5.36729
C14,50:0f:80:c0:ce:2f,-50.86,2.78487
C14,50:0f:80:c4:60:0d,-64.81633,3.47415
C14,50:0f:80:c4:60:0f,-64.81633,3.30828
C14,50:0f:80:d8:ee:0d,-69.42,4.83225
C14,50:0f:80:d8:ee:0e,-69.56,4.88713
C14,50:0f:80:d8:ee:0f,-69.42,4.80259
C14,50:0f:80:fd:84:4d,-69.7,2.36686
C14,50:0f:80:fd:84:4e,-70.02041,2.34955
C15,38:90:a5:37:46:9d,-73.78,3.27196
C15,38:90:a5:37:46:9e,-73.84,2.01383
C15,50:0f:80:c0:ce:2d,-62,4.42165
C15,50:0f:80:c0:ce:2e,-62.08,4.52133
C15,50:0f:80:c0:ce:2f,-61.96,5.35651
C15,50:0f:80:d8:ee:0e,-69.52,2.35814
C15,50:0f:80:d8:ee:0f,-69.48,2.18753
C15,50:0f:80:fd:7f:be,-56.72,4.44944
C15,50:0f:80:fd:84:4d,-67.04,2.13771
C15,50:0f:80:fd:84:4e,-67.06,2.09382
C15,50:0f:80:fd:84:4f,-67.14,2.14771
C15,e0:3f:49:09:d9:9c,-84.9,2.02283
