TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520600755495,18,Right,50:0f:80:fd:85:0f,eduroam, -79
1520600755495,18,Right,38:90:a5:74:ad:1e,TUvisitor, -90
1520600755495,18,Right,38:90:a5:91:74:1f,eduroam, -69
1520600755495,18,Right,50:0f:80:fd:84:e1,TUvisitor, -70
1520600755495,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -71
1520600755495,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -71
1520600755495,18,Right,50:0f:80:fd:7f:bf,eduroam, -78
1520600755495,18,Right,50:0f:80:fd:85:01,TUvisitor, -67
1520600755495,18,Right,38:90:a5:91:74:1d,tudelft-dastud, -70
1520600755495,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -66
1520600755495,18,Right,50:0f:80:fd:7f:5e,TUvisitor, -89
1520600755495,18,Right,38:90:a5:9d:1a:ef,eduroam, -61
1520600755495,18,Right,50:0f:80:c4:60:02,tudelft-dastud, -78
1520600755495,18,Right,50:0f:80:fd:7f:5f,eduroam, -87
1520600755495,18,Right,5c:96:9d:65:76:8d,SLDE-™-2, -78
1520600755495,18,Right,38:90:a5:9d:1a:e1,TUvisitor, -54
1520600755495,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -78
1520600755495,18,Right,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -66
1520600755495,18,Right,50:0f:80:fd:7f:be,TUvisitor, -79
1520600755495,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -62
1520600755495,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -66
1520600755495,18,Right,50:0f:80:fd:6d:71,TUvisitor, -61
1520600755495,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -61
1520600755495,18,Right,50:0f:80:fd:6d:70,eduroam, -66
1520600755495,18,Right,50:0f:80:fd:84:3d,tudelft-dastud, -90
1520600755495,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -72
1520600755495,18,Right,50:0f:80:fd:84:ee,TUvisitor, -90
1520600755495,18,Right,50:0f:80:fd:85:0c,TU Delft Open Dagen, -79
1520600755495,18,Right,38:90:a5:20:e9:0c,TU Delft Open Dagen, -89
1520600755495,18,Right,50:0f:80:fd:85:0e,TUvisitor, -79
1520600755495,18,Right,50:0f:80:d8:f4:2e,TUvisitor, -85
1520600755495,18,Right,50:0f:80:fd:7f:5c,TU Delft Open Dagen, -88
1520600755495,18,Right,50:0f:80:d8:f4:2f,eduroam, -84
1520600755495,18,Right,38:90:a5:9d:10:9f,eduroam, -74
1520600755495,18,Right,50:0f:80:fd:85:00,eduroam, -67
1520600755495,18,Right,50:0f:80:fd:84:e0,eduroam, -70
1520600755495,18,Right,50:0f:80:fd:84:ed,tudelft-dastud, -89
1520600755495,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -61
1520600755495,18,Right,50:0f:80:fd:84:3c,TU Delft Open Dagen, -90
1520600755495,18,Right,38:90:a5:91:74:10,eduroam, -66
1520600755495,18,Right,50:0f:80:fd:6d:7f,eduroam, -71
1520600755495,18,Right,50:0f:80:fd:7f:b2,tudelft-dastud, -66
1520600755495,18,Right,38:90:a5:9d:10:91,TUvisitor, -72
1520600755495,18,Right,38:90:a5:20:e9:03,TU Delft Open Dagen, -79
1520600755495,18,Right,50:0f:80:fd:85:02,tudelft-dastud, -68
1520600755495,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -69
1520600755495,18,Right,50:0f:80:c4:60:01,TUvisitor, -78
1520600755495,18,Right,50:0f:80:fd:7f:b1,TUvisitor, -66
1520600755495,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -70
1520600755495,18,Right,50:0f:80:c4:60:03,TU Delft Open Dagen, -79
1520600755495,18,Right,50:0f:80:fd:85:03,TU Delft Open Dagen, -67
1520600755495,18,Right,38:90:a5:91:74:1e,TUvisitor, -69
1520600755495,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -75
1520600755495,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -87
1520600755495,18,Right,38:90:a5:9d:10:92,tudelft-dastud, -72
1520600755495,18,Right,38:90:a5:9d:1a:e0,eduroam, -54
1520600755495,18,Right,38:90:a5:20:e9:0e,TUvisitor, -91
1520600755495,18,Right,38:90:a5:9d:1a:e2,tudelft-dastud, -54
1520600755495,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -72
1520600755495,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -63
1520600755495,18,Right,e0:3f:49:09:d9:98,TRIBLER, -64
1520600755495,18,Right,38:90:a5:91:74:12,tudelft-dastud, -65
1520600755495,18,Right,38:90:a5:9d:10:9e,TUvisitor, -75
1520600755495,18,Right,38:90:a5:74:ad:1c,TU Delft Open Dagen, -88
1520600755495,18,Right,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -54
1520600755495,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -74
1520600755495,18,Right,38:90:a5:20:e9:01,TUvisitor, -80
1520600755495,18,Right,50:0f:80:d8:f4:2d,tudelft-dastud, -85
1520600755495,18,Right,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -85
1520600755495,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -69
1520600755495,18,Right,38:90:a5:91:74:11,TUvisitor, -66
1520600755495,18,Right,38:90:a5:9d:1a:ed,tudelft-dastud, -62
1520600755495,18,Right,50:0f:80:c4:60:0c,TU Delft Open Dagen, -91
1520600780507,18,Right,50:0f:80:fd:85:0f,eduroam, -79
1520600780507,18,Right,38:90:a5:91:74:1f,eduroam, -71
1520600780507,18,Right,50:0f:80:fd:84:e1,TUvisitor, -69
1520600780507,18,Right,38:90:a5:20:f0:fe,TUvisitor, -90
1520600780507,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -70
1520600780507,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -72
1520600780507,18,Right,38:90:a5:9d:10:90,eduroam, -71
1520600780507,18,Right,50:0f:80:fd:7f:bf,eduroam, -76
1520600780507,18,Right,38:90:a5:91:74:1d,tudelft-dastud, -72
1520600780507,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -64
1520600780507,18,Right,50:0f:80:fd:7f:bd,tudelft-dastud, -77
1520600780507,18,Right,38:90:a5:9d:1a:ef,eduroam, -61
1520600780507,18,Right,38:90:a5:20:ee:e2,tudelft-dastud, -79
1520600780507,18,Right,38:90:a5:9d:1a:e1,TUvisitor, -53
1520600780507,18,Right,38:90:a5:20:e9:00,eduroam, -77
1520600780507,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -76
1520600780507,18,Right,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -68
1520600780507,18,Right,50:0f:80:fd:7f:be,TUvisitor, -77
1520600780507,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -63
1520600780507,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -66
1520600780507,18,Right,38:90:a5:20:f0:fd,tudelft-dastud, -89
1520600780507,18,Right,50:0f:80:fd:6d:71,TUvisitor, -65
1520600780507,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -65
1520600780507,18,Right,50:0f:80:fd:6d:70,eduroam, -65
1520600780507,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -71
1520600780507,18,Right,50:0f:80:fd:85:0c,TU Delft Open Dagen, -79
1520600780507,18,Right,50:0f:80:fd:85:0e,TUvisitor, -78
1520600780507,18,Right,50:0f:80:d8:f4:2e,TUvisitor, -84
1520600780507,18,Right,50:0f:80:d8:f4:2f,eduroam, -84
1520600780507,18,Right,38:90:a5:9d:10:9f,eduroam, -73
1520600780507,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -65
1520600780507,18,Right,50:0f:80:c4:5f:6c,TU Delft Open Dagen, -91
1520600780507,18,Right,50:0f:80:fd:85:0d,tudelft-dastud, -78
1520600780507,18,Right,50:0f:80:fd:6d:7f,eduroam, -73
1520600780507,18,Right,50:0f:80:fd:7f:b2,tudelft-dastud, -69
1520600780507,18,Right,38:90:a5:9d:10:91,TUvisitor, -75
1520600780507,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -70
1520600780507,18,Right,50:0f:80:fd:7f:b1,TUvisitor, -68
1520600780507,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -70
1520600780507,18,Right,50:0f:80:fd:85:03,TU Delft Open Dagen, -66
1520600780507,18,Right,38:90:a5:91:74:1e,TUvisitor, -72
1520600780507,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -72
1520600780507,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -87
1520600780507,18,Right,38:90:a5:9d:1a:e0,eduroam, -53
1520600780507,18,Right,50:0f:80:fd:7f:b0,eduroam, -69
1520600780507,18,Right,38:90:a5:20:ee:e3,TU Delft Open Dagen, -80
1520600780507,18,Right,38:90:a5:9d:1a:e2,tudelft-dastud, -54
1520600780507,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -71
1520600780507,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -62
1520600780507,18,Right,e0:3f:49:09:d9:98,TRIBLER, -63
1520600780507,18,Right,38:90:a5:91:74:12,tudelft-dastud, -66
1520600780507,18,Right,38:90:a5:9d:10:9e,TUvisitor, -72
1520600780507,18,Right,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -54
1520600780507,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -73
1520600780507,18,Right,50:0f:80:d8:f4:2d,tudelft-dastud, -84
1520600780507,18,Right,50:0f:80:c4:60:0f,eduroam, -87
1520600780507,18,Right,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -86
1520600780507,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -72
1520600780507,18,Right,38:90:a5:91:74:11,TUvisitor, -66
1520600780507,18,Right,50:0f:80:fd:84:ec,TU Delft Open Dagen, -88
1520600780507,18,Right,38:90:a5:9d:1a:ed,tudelft-dastud, -62
1520600780507,18,Right,50:0f:80:c4:60:0c,TU Delft Open Dagen, -86
1520600780507,18,Right,50:0f:80:c4:60:0e,TUvisitor, -85
1520600760506,18,Right,38:90:a5:74:ad:1e,TUvisitor, -89
1520600760506,18,Right,38:90:a5:91:74:1f,eduroam, -68
1520600760506,18,Right,50:0f:80:fd:84:e1,TUvisitor, -70
1520600760506,18,Right,38:90:a5:20:e9:0d,tudelft-dastud, -88
1520600760506,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -72
1520600760506,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -72
1520600760506,18,Right,50:0f:80:fd:7f:5d,tudelft-dastud, -88
1520600760506,18,Right,50:0f:80:fd:85:01,TUvisitor, -68
1520600760506,18,Right,38:90:a5:91:74:1d,tudelft-dastud, -69
1520600760506,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -66
1520600760506,18,Right,50:0f:80:fd:7f:bd,tudelft-dastud, -78
1520600760506,18,Right,38:90:a5:20:f0:ff,eduroam, -91
1520600760506,18,Right,38:90:a5:9d:1a:ef,eduroam, -62
1520600760506,18,Right,50:0f:80:fd:7f:5f,eduroam, -89
1520600760506,18,Right,5c:96:9d:65:76:8d,SLDE-™-2, -80
1520600760506,18,Right,38:90:a5:9d:1a:e1,TUvisitor, -63
1520600760506,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -79
1520600760506,18,Right,50:0f:80:fd:7f:be,TUvisitor, -79
1520600760506,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -61
1520600760506,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -67
1520600760506,18,Right,38:90:a5:20:f0:fd,tudelft-dastud, -90
1520600760506,18,Right,50:0f:80:fd:6d:71,TUvisitor, -63
1520600760506,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -63
1520600760506,18,Right,50:0f:80:fd:6d:70,eduroam, -62
1520600760506,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -75
1520600760506,18,Right,50:0f:80:fd:84:ee,TUvisitor, -92
1520600760506,18,Right,50:0f:80:fd:85:0c,TU Delft Open Dagen, -79
1520600760506,18,Right,38:90:a5:20:e9:0c,TU Delft Open Dagen, -88
1520600760506,18,Right,50:0f:80:fd:85:0e,TUvisitor, -79
1520600760506,18,Right,50:0f:80:d8:f4:2e,TUvisitor, -83
1520600760506,18,Right,50:0f:80:d8:f4:2f,eduroam, -86
1520600760506,18,Right,38:90:a5:74:ad:1f,eduroam, -88
1520600760506,18,Right,38:90:a5:9d:10:9f,eduroam, -72
1520600760506,18,Right,50:0f:80:fd:84:e0,eduroam, -70
1520600760506,18,Right,50:0f:80:fd:84:ed,tudelft-dastud, -90
1520600760506,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -62
1520600760506,18,Right,38:90:a5:91:74:10,eduroam, -66
1520600760506,18,Right,38:90:a5:20:f0:fc,TU Delft Open Dagen, -90
1520600760506,18,Right,50:0f:80:fd:6d:7f,eduroam, -72
1520600760506,18,Right,38:90:a5:9d:10:91,TUvisitor, -74
1520600760506,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -70
1520600760506,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -70
1520600760506,18,Right,50:0f:80:c4:60:03,TU Delft Open Dagen, -79
1520600760506,18,Right,38:90:a5:91:74:1e,TUvisitor, -68
1520600760506,18,Right,50:0f:80:fd:85:03,TU Delft Open Dagen, -68
1520600760506,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -71
1520600760506,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -87
1520600760506,18,Right,38:90:a5:9d:10:92,tudelft-dastud, -75
1520600760506,18,Right,38:90:a5:9d:1a:e0,eduroam, -62
1520600760506,18,Right,38:90:a5:20:e9:0e,TUvisitor, -89
1520600760506,18,Right,38:90:a5:9d:1a:e2,tudelft-dastud, -62
1520600760506,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -73
1520600760506,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -61
1520600760506,18,Right,e0:3f:49:09:d9:98,TRIBLER, -63
1520600760506,18,Right,38:90:a5:91:74:12,tudelft-dastud, -66
1520600760506,18,Right,38:90:a5:9d:10:9e,TUvisitor, -72
1520600760506,18,Right,38:90:a5:74:ad:1c,TU Delft Open Dagen, -89
1520600760506,18,Right,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -66
1520600760506,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -72
1520600760506,18,Right,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -85
1520600760506,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -68
1520600760506,18,Right,38:90:a5:91:74:11,TUvisitor, -66
1520600760506,18,Right,50:0f:80:fd:84:3e,TUvisitor, -91
1520600760506,18,Right,38:90:a5:9d:1a:ed,tudelft-dastud, -61
1520600760506,18,Right,50:0f:80:c4:60:0e,TUvisitor, -89
1520600765508,18,Right,50:0f:80:fd:85:0f,eduroam, -77
1520600765508,18,Right,38:90:a5:91:74:1f,eduroam, -69
1520600765508,18,Right,50:0f:80:fd:84:e1,TUvisitor, -70
1520600765508,18,Right,38:90:a5:20:f0:fe,TUvisitor, -90
1520600765508,18,Right,38:90:a5:8f:e7:0f,eduroam, -91
1520600765508,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -71
1520600765508,18,Right,50:0f:80:c4:60:0d,tudelft-dastud, -86
1520600765508,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -71
1520600765508,18,Right,50:0f:80:fd:84:ef,eduroam, -90
1520600765508,18,Right,38:90:a5:9d:10:90,eduroam, -76
1520600765508,18,Right,50:0f:80:fd:7f:bf,eduroam, -79
1520600765508,18,Right,50:0f:80:fd:85:01,TUvisitor, -67
1520600765508,18,Right,38:90:a5:91:74:1d,tudelft-dastud, -69
1520600765508,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -67
1520600765508,18,Right,50:0f:80:fd:7f:bd,tudelft-dastud, -78
1520600765508,18,Right,38:90:a5:9d:1a:ef,eduroam, -62
1520600765508,18,Right,50:0f:80:c4:60:02,tudelft-dastud, -79
1520600765508,18,Right,50:0f:80:fd:7f:5f,eduroam, -89
1520600765508,18,Right,5c:96:9d:65:76:8d,SLDE-™-2, -73
1520600765508,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -80
1520600765508,18,Right,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -69
1520600765508,18,Right,50:0f:80:fd:7f:be,TUvisitor, -79
1520600765508,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -62
1520600765508,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -66
1520600765508,18,Right,50:0f:80:fd:6d:71,TUvisitor, -64
1520600765508,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -65
1520600765508,18,Right,50:0f:80:fd:6d:70,eduroam, -64
1520600765508,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -72
1520600765508,18,Right,50:0f:80:fd:85:0c,TU Delft Open Dagen, -77
1520600765508,18,Right,50:0f:80:fd:85:0e,TUvisitor, -78
1520600765508,18,Right,50:0f:80:d8:f4:2e,TUvisitor, -85
1520600765508,18,Right,50:0f:80:d8:f4:2f,eduroam, -85
1520600765508,18,Right,38:90:a5:9d:10:9f,eduroam, -74
1520600765508,18,Right,50:0f:80:fd:84:e0,eduroam, -69
1520600765508,18,Right,50:0f:80:fd:84:ed,tudelft-dastud, -89
1520600765508,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -65
1520600765508,18,Right,50:0f:80:fd:85:0d,tudelft-dastud, -78
1520600765508,18,Right,38:90:a5:91:74:10,eduroam, -66
1520600765508,18,Right,50:0f:80:fd:6d:7f,eduroam, -71
1520600765508,18,Right,38:90:a5:9d:10:91,TUvisitor, -76
1520600765508,18,Right,50:0f:80:fd:85:02,tudelft-dastud, -68
1520600765508,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -69
1520600765508,18,Right,50:0f:80:fd:7f:b1,TUvisitor, -68
1520600765508,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -70
1520600765508,18,Right,50:0f:80:fd:85:03,TU Delft Open Dagen, -68
1520600765508,18,Right,38:90:a5:91:74:1e,TUvisitor, -69
1520600765508,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -74
1520600765508,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -88
1520600765508,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -71
1520600765508,18,Right,e0:3f:49:09:d9:98,TRIBLER, -59
1520600765508,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -63
1520600765508,18,Right,38:90:a5:91:74:12,tudelft-dastud, -67
1520600765508,18,Right,38:90:a5:9d:10:9e,TUvisitor, -74
1520600765508,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -74
1520600765508,18,Right,50:0f:80:d8:f4:2d,tudelft-dastud, -84
1520600765508,18,Right,50:0f:80:c4:60:0f,eduroam, -85
1520600765508,18,Right,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -86
1520600765508,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -70
1520600765508,18,Right,38:90:a5:91:74:11,TUvisitor, -67
1520600765508,18,Right,50:0f:80:fd:84:ec,TU Delft Open Dagen, -89
1520600765508,18,Right,38:90:a5:9d:1a:ed,tudelft-dastud, -62
1520600765508,18,Right,50:0f:80:c4:60:0c,TU Delft Open Dagen, -85
1520600765508,18,Right,38:90:a5:8f:e7:0d,tudelft-dastud, -92
1520600765508,18,Right,50:0f:80:c4:60:0e,TUvisitor, -86
